Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,nucleosome organization (GO:0034728),31/94,3.149285906382788e-40,1.4666117072542253e-37,0,0,62.7015873015873,5703.099869876002,H2AX;H2AB2;SPTY2D1;MACROH2A1;H1-10;H3C13;H2BC21;H3C1;BPTF;H2BC9;BRD2;DAXX;SUPT16H;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H1-0;H2BC18;SMARCA4;H2BC12;H2BC13;H1-4;H2BC14;H2BC15;H3-4;NASP;H2BC10;H2BC11;ASF1A
GO_Biological_Process_2021,nucleosome assembly (GO:0006334),27/58,4.06263630818345e-40,1.4666117072542253e-37,0,0,108.3670115642118,9829.058260624288,H2AX;H2AB2;SPTY2D1;MACROH2A1;IPO4;H3C13;H2BC21;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H3-4;NASP;H2BC10;H2BC11;ASF1A;ASF1B
GO_Biological_Process_2021,chromatin assembly (GO:0031497),27/73,1.028997649362503e-36,2.4764543427990903e-34,0,0,72.97456931911402,6046.999606697576,H2AX;H2AB2;SPTY2D1;MACROH2A1;H1-10;H3C13;H2BC21;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H1-0;H2BC18;H2BC12;H2BC13;H1-4;H2BC14;H2BC15;H3-4;H2BC10;H2BC11;ASF1A
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),26/90,4.343378516196928e-32,7.839798221735455e-30,0,0,50.146484375,3621.2817565084265,RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),26/93,1.1495367970185304e-31,1.6599311348947577e-29,0,0,47.893843283582086,3411.9946955723185,RPL32;RPL31;RPL34;RPL8;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL26L1;RPS24;RPS23
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),26/94,1.5768108837209634e-31,1.897429096744226e-29,0,0,47.18713235294118,3346.734786930148,RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),26/103,2.2878939640840166e-30,2.3597992029552283e-28,0,0,41.65275974025974,2842.797564276625,RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021,protein-DNA complex assembly (GO:0065004),28/143,2.799461197421186e-29,2.52651373067262e-27,0,0,30.35619152449092,1995.784226209929,H2AX;H2AB2;SPTY2D1;MACROH2A1;UBB;H3C13;H2BC21;UBC;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H3-4;H2BC10;H2BC11;UBA52;ASF1A;MCM2
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",26/113,3.285840567962069e-29,2.63597432229846e-27,0,0,36.84640804597701,2416.584390963611,RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021,peptide biosynthetic process (GO:0043043),29/162,4.1931079006267067e-29,3.0274239042524822e-27,0,0,27.333413150711174,1786.0069122650043,MRPS15;RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;MRPL9;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;MRPS7;RPL3L;RPL24;RPL27;RPL26;RPL29;RPS24;RPS23
