Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_BARD1_PATHWAY	1/8	9.344781e-02	1.704394e-01	1.625405e+01	3.852783e+01	BARD1
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_CARM1_PATHWAY	2/12	8.990645e-03	2.539565e-02	1.946267e+01	9.169973e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_CARM_ER_PATHWAY	3/26	3.760283e-03	1.272936e-02	1.223676e+01	6.832102e+01	CREBBP;H3C14;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_CSK_PATHWAY	1/22	2.365687e-01	3.390689e-01	5.664153e+00	8.164969e+00	CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_FAS_PATHWAY	1/30	3.080196e-01	4.148251e-01	4.125668e+00	4.858353e+00	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_G2_PATHWAY	1/24	2.550909e-01	3.585284e-01	5.181330e+00	7.078398e+00	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_HER2_PATHWAY	1/23	2.458864e-01	3.506904e-01	5.412012e+00	7.592435e+00	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_HIF_PATHWAY	1/15	1.680620e-01	2.620321e-01	8.402920e+00	1.498596e+01	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_HIVNEF_PATHWAY	1/56	4.973998e-01	5.724045e-01	2.188702e+00	1.528505e+00	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_HSP27_PATHWAY	1/14	1.577889e-01	2.528109e-01	9.026026e+00	1.666653e+01	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_HSWI_SNF_PATHWAY	2/12	8.990645e-03	2.539565e-02	1.946267e+01	9.169973e+01	ACTB;SMARCA4
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_IL7_PATHWAY	2/16	1.583373e-02	4.027877e-02	1.408949e+01	5.840957e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_KERATINOCYTE_PATHWAY	1/46	4.315842e-01	5.229502e-01	2.671716e+00	2.245023e+00	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_MAPK_PATHWAY	1/81	6.306471e-01	6.875476e-01	1.506183e+00	6.943638e-01	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_MCM_PATHWAY	1/18	1.981399e-01	2.946696e-01	6.960875e+00	1.126814e+01	MCM2
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_MEF2D_PATHWAY	1/18	1.981399e-01	2.946696e-01	6.960875e+00	1.126814e+01	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_MELANOCYTE_PATHWAY	1/7	8.225912e-02	1.555770e-01	1.875606e+01	4.685042e+01	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_NFAT_PATHWAY	1/51	4.654980e-01	5.487578e-01	2.406297e+00	1.839969e+00	CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_NTHI_PATHWAY	2/23	3.158105e-02	7.211420e-02	9.497295e+00	3.281504e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_P38MAPK_PATHWAY	1/36	3.572084e-01	4.590418e-01	3.426849e+00	3.527722e+00	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_P53HYPOXIA_PATHWAY	1/21	2.271367e-01	3.292160e-01	5.940892e+00	8.805610e+00	EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PCAF_PATHWAY	2/13	1.054084e-02	2.929881e-02	1.776895e+01	8.089311e+01	CREBBP;KAT2B
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PELP1_PATHWAY	2/6	2.143919e-03	8.005189e-03	4.543303e+01	2.791914e+02	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PITX2_PATHWAY	2/16	1.583373e-02	4.027877e-02	1.408949e+01	5.840957e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PML_PATHWAY	2/17	1.780279e-02	4.437945e-02	1.317951e+01	5.309236e+01	CREBBP;DAXX
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PPARA_PATHWAY	2/52	1.320900e-01	2.231423e-01	4.034728e+00	8.167388e+00	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_PPARG_PATHWAY	2/8	3.938263e-03	1.307744e-02	3.144899e+01	1.741335e+02	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_RARRXR_PATHWAY	1/7	8.225912e-02	1.555770e-01	1.875606e+01	4.685042e+01	KAT2B
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_RELA_PATHWAY	2/15	1.396520e-02	3.648567e-02	1.513427e+01	6.464130e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_SET_PATHWAY	1/10	1.154200e-01	1.992226e-01	1.283025e+01	2.770279e+01	CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_TGFB_PATHWAY	2/19	2.203182e-02	5.265847e-02	1.167156e+01	4.453012e+01	CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_VDR_PATHWAY	5/24	8.915457e-06	5.831916e-05	2.346580e+01	2.728538e+02	SUPT16H;EP300;CREBBP;SMARCA4;KAT2B
c2.cp.v2024.1.Hs.symbols.gmt	BIOCARTA_WNT_PATHWAY	1/24	2.550909e-01	3.585284e-01	5.181330e+00	7.078398e+00	CREBBP
c2.cp.v2024.1.Hs.symbols.gmt	KEGG_ADHERENS_JUNCTION	3/73	5.954961e-02	1.216154e-01	4.064735e+00	1.146640e+01	ACTB;CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1/53	4.784933e-01	5.595285e-01	2.314286e+00	1.705890e+00	DAXX
c2.cp.v2024.1.Hs.symbols.gmt	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1/74	5.973524e-01	6.611916e-01	1.650487e+00	8.504104e-01	ACTB
