protein1,protein2,y_true,y_score
ENSP00000484060,ENSP00000347184,1,0.46
ENSP00000264005,ENSP00000270162,0,0.40166666666666667
ENSP00000373657,ENSP00000466111,1,0.5216666666666666
ENSP00000472109,ENSP00000478927,1,0.6383333333333333
ENSP00000388107,ENSP00000225430,1,0.995
ENSP00000369695,ENSP00000358160,1,1.0
ENSP00000419087,ENSP00000356972,1,0.8316666666666667
ENSP00000256592,ENSP00000381461,0,0.26666666666666666
ENSP00000204517,ENSP00000312664,0,0.3333333333333333
ENSP00000257017,ENSP00000381008,0,0.17833333333333334
ENSP00000234313,ENSP00000477725,0,0.27166666666666667
ENSP00000243077,ENSP00000284981,1,0.68
ENSP00000254691,ENSP00000341189,0,0.55
ENSP00000332983,ENSP00000363318,0,0.31333333333333335
ENSP00000254101,ENSP00000254108,0,0.605
ENSP00000221891,ENSP00000348527,0,0.22166666666666668
ENSP00000393139,ENSP00000405726,1,0.6966666666666667
ENSP00000431926,ENSP00000356641,1,0.675
ENSP00000322579,ENSP00000347635,0,0.19
ENSP00000346037,ENSP00000486252,1,0.8533333333333334
ENSP00000231887,ENSP00000357873,1,0.6066666666666667
ENSP00000212015,ENSP00000337976,1,0.6266666666666667
ENSP00000352833,ENSP00000264972,1,0.5716666666666667
ENSP00000368079,ENSP00000497070,0,0.23166666666666666
ENSP00000265713,ENSP00000480826,1,1.0
ENSP00000362549,ENSP00000346768,1,0.935
ENSP00000266269,ENSP00000383710,0,0.31333333333333335
ENSP00000360498,ENSP00000424328,1,0.8266666666666667
ENSP00000438483,ENSP00000365458,1,0.49833333333333335
ENSP00000321388,ENSP00000334140,1,0.5233333333333333
ENSP00000337623,ENSP00000355559,0,0.375
ENSP00000363832,ENSP00000249750,1,0.8466666666666667
ENSP00000263686,ENSP00000498227,1,0.6266666666666667
ENSP00000332973,ENSP00000287820,1,0.6533333333333333
ENSP00000261245,ENSP00000280326,0,0.82
ENSP00000366757,ENSP00000368314,0,0.37
ENSP00000354632,ENSP00000446215,0,0.6216666666666667
ENSP00000243077,ENSP00000352738,0,0.335
ENSP00000364578,ENSP00000426964,0,0.21333333333333335
ENSP00000284995,ENSP00000301838,0,0.5533333333333333
ENSP00000295822,ENSP00000346509,0,0.37333333333333335
ENSP00000290650,ENSP00000360613,1,0.6783333333333333
ENSP00000345957,ENSP00000280557,1,0.7966666666666666
ENSP00000371512,ENSP00000496848,0,0.31333333333333335
ENSP00000264664,ENSP00000395793,0,0.44333333333333336
ENSP00000470262,ENSP00000392495,1,0.7916666666666666
ENSP00000380958,ENSP00000304643,1,0.6133333333333333
ENSP00000480549,ENSP00000238738,1,0.5883333333333334
ENSP00000268261,ENSP00000368881,0,0.32666666666666666
ENSP00000308897,ENSP00000360498,1,0.91
ENSP00000168148,ENSP00000325313,0,0.2966666666666667
ENSP00000359319,ENSP00000384048,1,0.4116666666666667
ENSP00000229179,ENSP00000367721,1,0.545
ENSP00000405726,ENSP00000466090,0,0.29
ENSP00000332576,ENSP00000491865,0,0.03333333333333333
ENSP00000221138,ENSP00000478927,1,0.7766666666666666
ENSP00000276585,ENSP00000306548,1,0.7583333333333333
ENSP00000365770,ENSP00000361287,1,0.515
ENSP00000329715,ENSP00000420357,1,0.465
ENSP00000309542,ENSP00000357103,0,0.3016666666666667
ENSP00000225916,ENSP00000487444,0,0.41
ENSP00000216455,ENSP00000388107,1,0.8066666666666666
ENSP00000264832,ENSP00000264246,1,0.7233333333333334
ENSP00000262406,ENSP00000347655,0,0.445
ENSP00000383003,ENSP00000355533,1,0.645
ENSP00000367527,ENSP00000498630,0,0.425
ENSP00000379506,ENSP00000379888,1,0.9916666666666667
ENSP00000309116,ENSP00000351342,1,0.37166666666666665
ENSP00000311127,ENSP00000334448,0,0.475
ENSP00000350676,ENSP00000385479,1,1.0
ENSP00000301585,ENSP00000369682,1,0.7183333333333334
ENSP00000266505,ENSP00000381097,0,0.2916666666666667
ENSP00000283131,ENSP00000358151,1,0.805
ENSP00000320247,ENSP00000431603,0,0.12166666666666667
ENSP00000366347,ENSP00000380679,0,0.31166666666666665
ENSP00000356218,ENSP00000462116,0,0.32166666666666666
ENSP00000358865,ENSP00000482169,1,0.5866666666666667
ENSP00000220913,ENSP00000261681,0,0.555
ENSP00000415536,ENSP00000228347,1,0.87
ENSP00000262584,ENSP00000494697,1,0.9933333333333333
ENSP00000230050,ENSP00000359345,1,0.9816666666666667
ENSP00000485513,ENSP00000495413,0,0.3466666666666667
ENSP00000362824,ENSP00000324806,1,0.6766666666666666
ENSP00000343838,ENSP00000416002,1,0.8233333333333334
ENSP00000335632,ENSP00000386992,0,0.3433333333333333
ENSP00000367691,ENSP00000380450,0,0.37666666666666665
ENSP00000374280,ENSP00000333277,1,0.92
ENSP00000310015,ENSP00000430282,0,0.305
ENSP00000367034,ENSP00000358262,1,1.0
ENSP00000386135,ENSP00000291295,1,0.8783333333333333
ENSP00000296027,ENSP00000386884,1,0.64
ENSP00000265896,ENSP00000279263,1,0.56
ENSP00000323795,ENSP00000354722,0,0.7333333333333333
ENSP00000364320,ENSP00000326981,1,0.89
ENSP00000264110,ENSP00000394560,1,0.7166666666666667
ENSP00000254480,ENSP00000342609,0,0.11833333333333333
ENSP00000341564,ENSP00000484903,0,0.19666666666666666
ENSP00000366694,ENSP00000493110,0,0.19666666666666666
ENSP00000254657,ENSP00000280904,0,0.455
ENSP00000469468,ENSP00000296215,1,0.8566666666666667
ENSP00000280362,ENSP00000345797,0,0.445
ENSP00000221978,ENSP00000354645,0,0.14833333333333334
ENSP00000280236,ENSP00000380308,0,0.41833333333333333
ENSP00000228434,ENSP00000229135,1,0.5216666666666666
ENSP00000233468,ENSP00000400482,0,0.35833333333333334
ENSP00000316338,ENSP00000337445,0,0.3233333333333333
ENSP00000240488,ENSP00000273062,0,0.315
ENSP00000432119,ENSP00000261015,1,0.64
ENSP00000314067,ENSP00000420321,1,0.59
ENSP00000216338,ENSP00000327890,0,0.365
ENSP00000360561,ENSP00000232607,1,0.6883333333333334
ENSP00000224073,ENSP00000341885,1,0.9716666666666667
ENSP00000458954,ENSP00000436679,1,0.5983333333333334
ENSP00000252699,ENSP00000377789,1,0.345
ENSP00000383949,ENSP00000253247,1,0.8033333333333333
ENSP00000267812,ENSP00000221494,1,0.9333333333333333
ENSP00000296674,ENSP00000368927,1,0.9666666666666667
ENSP00000324960,ENSP00000388299,0,0.24666666666666667
ENSP00000357256,ENSP00000271452,1,0.56
ENSP00000265983,ENSP00000330737,0,0.545
ENSP00000351492,ENSP00000257181,1,0.6683333333333333
ENSP00000384371,ENSP00000350844,1,0.6216666666666667
ENSP00000303158,ENSP00000391592,0,0.255
ENSP00000219070,ENSP00000267842,0,0.44333333333333336
ENSP00000310515,ENSP00000367817,0,0.19833333333333333
ENSP00000307288,ENSP00000339495,0,0.685
ENSP00000273480,ENSP00000478474,1,0.4633333333333333
ENSP00000231420,ENSP00000467262,0,0.595
ENSP00000387662,ENSP00000265986,1,0.5166666666666667
ENSP00000256078,ENSP00000310244,1,0.7983333333333333
ENSP00000364028,ENSP00000410042,0,0.25333333333333335
ENSP00000418960,ENSP00000298139,1,0.905
ENSP00000357823,ENSP00000466010,1,0.9933333333333333
ENSP00000240423,ENSP00000260953,0,0.4866666666666667
ENSP00000257181,ENSP00000380336,1,0.5633333333333334
ENSP00000488437,ENSP00000363079,1,0.5
ENSP00000223073,ENSP00000268138,0,0.5166666666666667
ENSP00000344393,ENSP00000438949,0,0.47
ENSP00000268482,ENSP00000357928,1,0.73
ENSP00000357362,ENSP00000334657,1,0.375
ENSP00000352271,ENSP00000466834,1,0.43833333333333335
ENSP00000372499,ENSP00000257430,1,0.73
ENSP00000368079,ENSP00000405890,0,0.205
ENSP00000489282,ENSP00000271640,1,1.0
ENSP00000366563,ENSP00000373700,1,0.6183333333333333
ENSP00000388337,ENSP00000337688,1,0.735
ENSP00000278379,ENSP00000378119,0,0.25666666666666665
ENSP00000352833,ENSP00000434412,0,0.375
ENSP00000321573,ENSP00000323046,0,0.3616666666666667
ENSP00000219400,ENSP00000216968,1,0.19166666666666668
ENSP00000344794,ENSP00000403524,0,0.28
ENSP00000386331,ENSP00000395574,0,0.4533333333333333
ENSP00000320130,ENSP00000426632,0,0.32666666666666666
ENSP00000232607,ENSP00000383234,0,0.39
ENSP00000262158,ENSP00000426909,0,0.39666666666666667
ENSP00000460348,ENSP00000469468,1,0.83
ENSP00000229335,ENSP00000283752,0,0.215
ENSP00000440273,ENSP00000497185,0,0.2633333333333333
ENSP00000264033,ENSP00000380638,1,0.6533333333333333
ENSP00000478877,ENSP00000386541,1,0.6133333333333333
ENSP00000322421,ENSP00000337040,0,0.34
ENSP00000258729,ENSP00000356385,0,0.26
ENSP00000295926,ENSP00000357907,1,0.49
ENSP00000243347,ENSP00000292599,0,0.23833333333333334
ENSP00000498630,ENSP00000499900,1,0.6016666666666667
ENSP00000337053,ENSP00000497642,0,0.47833333333333333
ENSP00000193322,ENSP00000358423,0,0.2916666666666667
ENSP00000312150,ENSP00000480715,0,0.2866666666666667
ENSP00000378877,ENSP00000360296,1,0.705
ENSP00000344393,ENSP00000470560,1,0.7616666666666667
ENSP00000262662,ENSP00000357060,0,0.31333333333333335
ENSP00000233057,ENSP00000320180,0,0.18
ENSP00000219302,ENSP00000347213,1,0.33166666666666667
ENSP00000261497,ENSP00000263754,1,0.65
ENSP00000303978,ENSP00000378725,0,0.565
ENSP00000285402,ENSP00000384863,0,0.26
ENSP00000333212,ENSP00000360372,1,0.8266666666666667
ENSP00000356438,ENSP00000311095,1,0.875
ENSP00000296674,ENSP00000346001,1,0.9966666666666667
ENSP00000216452,ENSP00000409007,0,0.31
ENSP00000373404,ENSP00000290208,1,0.8283333333333334
ENSP00000298198,ENSP00000388510,0,0.28833333333333333
ENSP00000230640,ENSP00000359939,1,0.5966666666666667
ENSP00000331019,ENSP00000375632,1,0.985
ENSP00000360561,ENSP00000485525,1,0.5066666666666667
