Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nucleosome organization (GO:0034728)	31/94	3.149286e-40	1.466612e-37	0	0	6.270159e+01	5.703100e+03	H2AX;H2AB2;SPTY2D1;MACROH2A1;H1-10;H3C13;H2BC21;H3C1;BPTF;H2BC9;BRD2;DAXX;SUPT16H;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H1-0;H2BC18;SMARCA4;H2BC12;H2BC13;H1-4;H2BC14;H2BC15;H3-4;NASP;H2BC10;H2BC11;ASF1A
GO_Biological_Process_2021	nucleosome assembly (GO:0006334)	27/58	4.062636e-40	1.466612e-37	0	0	1.083670e+02	9.829058e+03	H2AX;H2AB2;SPTY2D1;MACROH2A1;IPO4;H3C13;H2BC21;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H3-4;NASP;H2BC10;H2BC11;ASF1A;ASF1B
GO_Biological_Process_2021	chromatin assembly (GO:0031497)	27/73	1.028998e-36	2.476454e-34	0	0	7.297457e+01	6.047000e+03	H2AX;H2AB2;SPTY2D1;MACROH2A1;H1-10;H3C13;H2BC21;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H1-0;H2BC18;H2BC12;H2BC13;H1-4;H2BC14;H2BC15;H3-4;H2BC10;H2BC11;ASF1A
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	26/90	4.343379e-32	7.839798e-30	0	0	5.014648e+01	3.621282e+03	RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	26/93	1.149537e-31	1.659931e-29	0	0	4.789384e+01	3.411995e+03	RPL32;RPL31;RPL34;RPL8;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL26L1;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	26/94	1.576811e-31	1.897429e-29	0	0	4.718713e+01	3.346735e+03	RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	26/103	2.287894e-30	2.359799e-28	0	0	4.165276e+01	2.842798e+03	RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021	protein-DNA complex assembly (GO:0065004)	28/143	2.799461e-29	2.526514e-27	0	0	3.035619e+01	1.995784e+03	H2AX;H2AB2;SPTY2D1;MACROH2A1;UBB;H3C13;H2BC21;UBC;H3C1;H2BC9;BRD2;DAXX;H2BC5;H2BC3;ATRX;SMARCA5;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H3-4;H2BC10;H2BC11;UBA52;ASF1A;MCM2
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	26/113	3.285841e-29	2.635974e-27	0	0	3.684641e+01	2.416584e+03	RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	29/162	4.193108e-29	3.027424e-27	0	0	2.733341e+01	1.786007e+03	MRPS15;RPL32;RPL31;RPL34;RPL8;RPS4Y1;RPL7;RPS15;RPL7A;RPS17;RPS18;RPL36;RPL35;MRPL9;RPL15;RPS2;RPL17;RPL21;RPS8;RPS6;RPL35A;MRPS7;RPL3L;RPL24;RPL27;RPL26;RPL29;RPS24;RPS23
