Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_BARD1_PATHWAY,1/8,0.09344781324806758,0.17043940781094088,16.254054054054055,38.52783190154746,BARD1
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_CARM1_PATHWAY,2/12,0.008990644789501933,0.02539565248982689,19.462667242123434,91.69973291841922,CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_CARM_ER_PATHWAY,3/26,0.0037602825167791978,0.012729361049019073,12.236758714350385,68.32101998404828,CREBBP;H3C14;EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_CSK_PATHWAY,1/22,0.23656873081861454,0.3390688563627589,5.6641525246176405,8.164969304071308,CREBBP
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_FAS_PATHWAY,1/30,0.308019575959036,0.4148251255175872,4.125668040922278,4.858353430949437,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_G2_PATHWAY,1/24,0.2550909266560125,0.358528442957562,5.18133026643665,7.0783977751403455,EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_HER2_PATHWAY,1/23,0.24588635283309707,0.3506903720734335,5.412012012012012,7.59243496424696,EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_HIF_PATHWAY,1/15,0.16806197567844236,0.26203211261692627,8.402920161540852,14.985956585667713,EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_HIVNEF_PATHWAY,1/56,0.49739976745775644,0.5724044942966245,2.1887022157292426,1.5285047389311364,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_HSP27_PATHWAY,1/14,0.15778885752094587,0.25281087669101826,9.026026026026026,16.666534351766497,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_HSWI_SNF_PATHWAY,2/12,0.008990644789501933,0.02539565248982689,19.462667242123434,91.69973291841922,ACTB;SMARCA4
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_IL7_PATHWAY,2/16,0.01583372507312609,0.04027877430882952,14.089488488384207,58.409568267499516,CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_KERATINOCYTE_PATHWAY,1/46,0.43158421671989183,0.5229502347441587,2.671715671715672,2.245022949652552,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_MAPK_PATHWAY,1/81,0.630647087551327,0.6875475766537025,1.5061832018353758,0.6943638062955497,DAXX
c2.cp.v2024.1.Hs.symbols.gmt,BIOCARTA_MCM_PATHWAY,1/18,0.19813990936091544,0.2946696087931563,6.960875160875161,11.268138613385027,MCM2
